PALAVRA
PARDO
MORTO
BARCO
VERDE
ANZOL
LABIO
PUNIR
CASAL
PULSO
FALSO
PILHA
CACHO
ZEBRA
FERRO
PRETO
PEITO
UNIAO
CURVA
SUBIR
CORDA
BRACO
SAMBA
NATAL
CARRO
MEDIA
MEDIR
BOMBA
FATAL
BROCA
BROTO
PORTO
PORTA
LATIR
OUVIR
ZUNIR
SALTO
INDIO
REGRA
MAGRO
FORTE
FARDO
CINTO
HOMEM
CERVO
NERVO
PINTO
PONTO
VIUVA
FALAR
PULSO
COISA
CISTO
NOITE
MANHA
TARDE
NEGRO
